competitor,metric,direction,num_paired_seeds,spcauchy_minus_competitor_mean,paired_difference_std,paired_t_ci_low,paired_t_ci_high,paired_t_p_value,paired_wilcoxon_p_value,is_primary_metric,secondary_bh_q_value
powerspherical,test_gap_reconstruction_nll,lower,5,-7.2067162234694795,2.9088762060061724,-10.8185630836989,-3.594869363240059,0.005191053168423709,0.0625,True,
powerspherical,test_gap_pixel_mse,lower,5,-0.0001407561768115826,5.681398674450303e-05,-0.00021130005874665786,-7.021229487650731e-05,0.005191052546067748,0.0625,False,0.014657089541838348
powerspherical,test_gap_psnr_db,higher,5,0.2057993183135977,0.14301836666689283,0.028218561341411624,0.3833800752857838,0.03235306168711966,0.0625,False,0.0705884982264429
powerspherical,test_gap_ssim,higher,5,0.0019680340290070264,0.00636024996545891,-0.005929259372680037,0.00986532743069409,0.527065160281153,0.625,False,0.6324781923373836
powerspherical,test_observed_reconstruction_nll,lower,5,-6.260686894906263,2.059690292291788,-8.818130178294764,-3.703243611517762,0.002447481954059702,0.0625,False,0.007831942263146593
powerspherical,test_observed_pixel_mse,lower,5,-0.00012227904083833677,4.022832600970022e-05,-0.0001722291049525856,-7.232897672408792e-05,0.00244748195723331,0.0625,False,0.007831942263146593
powerspherical,test_observed_psnr_db,higher,5,0.20717216877205685,0.14073749172035743,0.032423492105388696,0.381920845438725,0.030170258859284416,0.0625,False,0.06896059167836438
powerspherical,test_observed_ssim,higher,5,0.0015290864832187001,0.006476324395178476,-0.006512332358963181,0.009570505325400581,0.6254685392403049,0.625,False,0.6981974391519682
powerspherical,pose_test_observed_mean_error_degrees,lower,5,0.08673695994633875,1.007439778305849,-1.1641647431344155,1.3376386630270931,0.856716056968273,1.0,False,0.8923821768130772
powerspherical,pose_test_gap_mean_error_degrees,lower,5,-1.3550958308997054,1.2417029906913504,-2.8968737309030987,0.1866820691036879,0.07118795006126442,0.125,False,0.13591827554231956
powerspherical,pose_test_gap_median_error_degrees,lower,5,-1.0087867736816407,1.3473964328723533,-2.681800415687417,0.6642268683241352,0.1694180235722036,0.3125,False,0.2804160390160611
powerspherical,pose_test_gap_q90_error_degrees,lower,5,0.049052734374993176,0.5446082510153435,-0.6271677240354774,0.7252731927854636,0.8502114494556229,1.0,False,0.8923821768130772
powerspherical,geometry_test_spearman,higher,5,-0.003999205113380008,0.00574102549197277,-0.01112762977953265,0.003129219552772633,0.19431306053211145,0.1875,False,0.3109008968513783
powerspherical,geometry_test_cross_gap_spearman,higher,5,0.0003595532109648469,0.007165462013648091,-0.008537543001878636,0.00925664942380833,0.9160678336685042,1.0,False,0.9160678336685043
powerspherical,interpolation_interior_pixel_mse,lower,5,-3.1104477335854375e-05,0.00014394221852250644,-0.00020983234789682964,0.00014762339322512091,0.6542163263733315,1.0,False,0.7136905378618162
powerspherical,interpolation_interior_psnr_db,higher,5,0.032333886923613164,0.06753886013471165,-0.051526684185377716,0.11619445803260404,0.34468725756997975,0.4375,False,0.4683768136138877
powerspherical,interpolation_interior_ssim,higher,5,0.0002913946995028782,0.003849072656158908,-0.0044878602441201735,0.005070649643125929,0.8737908814628047,1.0,False,0.8923821768130772
vmf_robust,test_gap_reconstruction_nll,lower,5,-4.649489434736745,1.3842247844648656,-6.368231515028134,-2.930747354445357,0.001681740661372347,0.0625,True,
vmf_robust,test_gap_pixel_mse,lower,5,-9.081034058342798e-05,2.703564049682675e-05,-0.00012437952205671747,-5.724115911013847e-05,0.0016817406982797458,0.0625,False,0.006726962793118983
vmf_robust,test_gap_psnr_db,higher,5,0.13551831160651345,0.08328751001686369,0.032103208918538434,0.23893341429448847,0.021996949823467178,0.0625,False,0.05557124165928551
vmf_robust,test_gap_ssim,higher,5,0.002097583772959566,0.004449456073270102,-0.003427145644809009,0.00762231319072814,0.3512826102104158,0.4375,False,0.4683768136138877
vmf_robust,test_observed_reconstruction_nll,lower,5,-4.160335621364536,0.7929992586877761,-5.144974251479421,-3.1756969912496507,0.00030202166080443117,0.0625,False,0.001610782268112174
vmf_robust,test_observed_pixel_mse,lower,5,-8.125655537285763e-05,1.5488267012289583e-05,-0.00010048777891658458,-6.202533182913068e-05,0.00030202167527103264,0.0625,False,0.001610782268112174
vmf_robust,test_observed_psnr_db,higher,5,0.14908550561168282,0.05517774805343332,0.08057328235177684,0.2175977288715888,0.0037852510438560146,0.0625,False,0.011355753131568044
