batch_size,central_calibration_absolute_error,central_mass,device,epsilon,evaluation_samples,family,fitted_concentration,fitted_local_curvature,forward_kl,heldout_nll,initial_curvature,initial_location_angle_degrees,joint_mass_calibration_absolute_error,kappa,learning_rate,location_cosine,nonfinite_count,objective,reverse_kl,seed,steps,tail_calibration_absolute_error,tail_probability,target_central_mass,target_entropy,target_local_curvature,target_tail_probability,target_theta_q50_rad,target_theta_q90_rad,target_theta_q99_rad,theta_q50_rad,theta_q90_rad,theta_q99_rad,wall_seconds
8192,0.05907398462295532,0.4342289865016937,cuda,0.01,1000000,spcauchy,0.5674466450586533,194.10004542052715,0.2190504863462844,-30.200236095298955,100.0,10.0,0.06410298449918628,100,0.03,0.9999993338973233,0,reverse_kl,0.10921148516720895,1,600,0.005028999876230955,0.0,0.3751550018787384,-30.41928658164524,100.0,0.005028999876230955,0.5459638798357362,0.6421054226605655,0.8695949677711471,0.5385379256650293,0.6684521436413208,0.7972175159861082,2.1675153099931777
8192,0.05884501338005066,0.434565007686615,cuda,0.01,1000000,spcauchy,0.56759659067174,194.28601165432647,0.2183777720116967,-30.208712771600936,100.0,10.0,0.06373601360246539,100,0.03,0.9999994006933298,0,reverse_kl,0.10772591775853187,2,600,0.004891000222414732,0.0,0.37571999430656433,-30.427090543612636,100.0,0.004891000222414732,0.5458577252878619,0.6419035474347077,0.8351920214355175,0.5385427990524134,0.6679753104203077,0.7957578811176625,2.2124495030147955
8192,0.0021650195121765137,0.3774760067462921,cuda,0.01,1000000,vmf,99.93018191954592,99.93018191954592,0.5779897381019635,-29.84400219361774,100.0,10.0,0.007012019399553537,100,0.03,0.9999993801536535,0,reverse_kl,0.010115075018369057,0,600,0.004846999887377024,0.0,0.3753109872341156,-30.421991931719703,100.0,0.004846999887377024,0.54596900806818,0.6418375357869002,0.8306248713170056,0.5453183467053739,0.638278272516188,0.7186020704917093,6.056766377994791
8192,0.00398901104927063,0.37914401292800903,cuda,0.01,1000000,vmf,99.97376176075934,99.97376176075934,0.5859614309940606,-29.83332515065118,100.0,10.0,0.009018010925501585,100,0.03,0.9999990670773292,0,reverse_kl,0.010132666228746411,1,600,0.005028999876230955,0.0,0.3751550018787384,-30.41928658164524,100.0,0.005028999876230955,0.5459638798357362,0.6421054226605655,0.8695949677711471,0.5451338567355156,0.6380883548307047,0.7179388896503014,5.994123411015607
8192,0.002281010150909424,0.37800100445747375,cuda,0.01,1000000,vmf,99.91022119407091,99.91022119407091,0.5789507369507034,-29.848139806661937,100.0,10.0,0.007172010373324156,100,0.03,0.9999992902562381,0,reverse_kl,0.01011079887798143,2,600,0.004891000222414732,0.0,0.37571999430656433,-30.427090543612636,100.0,0.004891000222414732,0.5458577252878619,0.6419035474347077,0.8351920214355175,0.5452070214343705,0.6380705029950807,0.7183733915310436,6.077061418036465
8192,0.30358900874853134,0.05657900124788284,cuda,0.05,1000000,powerspherical,124.04891280779297,62.02445640389649,3.50013813891237,-25.942622886936956,100.0,10.0,0.3284110091626644,100,0.03,0.9999989033150012,0,forward_kl,1.0134778351188927,0,600,0.024822000414133072,0.0,0.3601680099964142,-29.442761025849332,100.0,0.024822000414133072,0.549708316275537,0.6633494115988683,1.72007552010517,0.6464119343358206,0.7509505528964978,0.8390150574802575,5.062599400989711
8192,0.30360499024391174,0.05648300051689148,cuda,0.05,1000000,powerspherical,123.78272999816143,61.891364999080714,3.4912080943227943,-25.955246851182398,100.0,10.0,0.3283919896930456,100,0.03,0.9999984209043609,0,forward_kl,1.0234852169961826,1,600,0.024786999449133873,0.0,0.3600879907608032,-29.446454945505195,100.0,0.024786999449133873,0.5497189093411019,0.6632394550159343,1.7188576114674594,0.6469140870277711,0.751732020617004,0.8393868990809586,5.285911219951231
8192,0.3044140040874481,0.05611500144004822,cuda,0.05,1000000,powerspherical,123.69108482290525,61.84554241145263,3.505978061849815,-25.935540285638186,100.0,10.0,0.3292770031839609,100,0.03,0.999999041002427,0,forward_kl,1.024631707704961,2,600,0.024862999096512794,0.0,0.36052900552749634,-29.441518347488,100.0,0.024862999096512794,0.5496278342390883,0.6633837010217373,1.718619975293551,0.6468659021701607,0.7517207521410432,0.8404984543974076,5.2680379879893735
8192,0.03846001625061035,0.32170799374580383,cuda,0.05,1000000,spcauchy,0.549251128878146,173.0141552907362,0.8675290451032426,-28.575231980746086,100.0,10.0,0.06328201666474342,100,0.03,0.9999993059813915,0,forward_kl,0.2245264811439464,0,600,0.024822000414133072,0.0,0.3601680099964142,-29.442761025849332,100.0,0.024822000414133072,0.549708316275537,0.6633494115988683,1.72007552010517,0.5662740669552866,0.7016976735435269,0.834218422527758,4.591336857993156
8192,0.03807899355888367,0.32200899720191956,cuda,0.05,1000000,spcauchy,0.549254559441321,173.01786952004227,0.8642466830600346,-28.58220826244516,100.0,10.0,0.06286599300801754,100,0.03,0.9999988062731573,0,forward_kl,0.22554978169839232,1,600,0.024786999449133873,0.0,0.3600879907608032,-29.446454945505195,100.0,0.024786999449133873,0.5497189093411019,0.6632394550159343,1.7188576114674594,0.5662796733697015,0.7019135934194826,0.8357381290395514,4.722277878958266
8192,0.039649009704589844,0.3208799958229065,cuda,0.05,1000000,spcauchy,0.5491600314854613,172.9155592695455,0.8705592590990419,-28.57095908838896,100.0,10.0,0.06451200880110264,100,0.03,0.999999093765574,0,forward_kl,0.22563328700484872,2,600,0.024862999096512794,0.0,0.36052900552749634,-29.441518347488,100.0,0.024862999096512794,0.5496278342390883,0.6633837010217373,1.718619975293551,0.5666541281770562,0.7018751187732548,0.8347328704835916,4.46011072100373
