kappa,epsilon,objective,family,seeds,forward_kl_mean,forward_kl_sd,reverse_kl_mean,reverse_kl_sd,heldout_nll_mean,heldout_nll_sd,tail_probability_mean,tail_probability_sd,tail_calibration_absolute_error_mean,tail_calibration_absolute_error_sd,central_calibration_absolute_error_mean,central_calibration_absolute_error_sd,joint_mass_calibration_absolute_error_mean,joint_mass_calibration_absolute_error_sd,theta_q50_rad_mean,theta_q50_rad_sd,theta_q90_rad_mean,theta_q90_rad_sd,theta_q99_rad_mean,theta_q99_rad_sd,fitted_local_curvature_mean,fitted_local_curvature_sd,location_cosine_mean,location_cosine_sd
100,0.0,forward_kl,powerspherical,3,0.0014328524027105991,8.580958217510246e-05,0.0013972216474774084,2.2999530954065824e-05,-30.685527677690292,0.0038596661338084603,0.0,0.0,0.0,0.0,0.00794599453608195,0.00061728618093787,0.00794599453608195,0.00061728618093787,0.5457961463194108,0.00023094403197600191,0.6347434172600889,0.00024324887330643522,0.7098570516389261,0.00021238399254604277,92.17901278706836,0.03736564286294401,0.9999992284236251,1.4994643652483589e-07
100,0.0,forward_kl,spcauchy,3,0.0651787272907872,0.0004415901675191372,0.10310746406958597,0.0007478613292441655,-30.621781802802218,0.0034460585087037247,0.0,0.0,0.0,0.0,0.03628834088643392,0.0004835787694396956,0.03628834088643392,0.0004835787694396956,0.5429235379453666,0.00010600824673842962,0.6735294551919608,0.00011633044110249723,0.8023437901699166,0.0007479855023992015,190.61074525970506,0.02915000082226354,0.9999991451794829,2.0029114763510547e-07
100,0.0,forward_kl,vmf,3,5.910577831398316e-05,9.817318035183485e-06,7.537591534495709e-05,1.3900940367129201e-05,-30.686901424314694,0.0037963511774635594,0.0,0.0,0.0,0.0,0.0007359981536865234,0.00042663468683883327,0.0007359981536865234,0.00042663468683883327,0.5449118972122063,0.00014266913497616387,0.6377813670220434,0.00022159942111047267,0.7179004262249231,0.000229698641467372,100.05837379934769,0.03280695998225614,0.9999992174219212,1.5902967880918888e-07
100,0.0,reverse_kl,powerspherical,3,0.0014447972493585358,8.126146600191482e-05,0.0014251697052356405,3.9662865950179057e-05,-30.685515732843644,0.003858769600200019,0.0,0.0,0.0,0.0,0.008461664120356241,0.0008971681698738651,0.008461664120356241,0.0008971681698738651,0.5458873369716171,0.00026931894791891475,0.6348414719897467,0.000248895642636133,0.7099949335566459,0.00021878562290924782,92.1443359094568,0.049335059162541814,0.9999991867547173,9.3746759819754e-08
100,0.0,reverse_kl,spcauchy,3,0.06660000497841455,0.0005261246308955222,0.10047522462583508,0.0007795842209375669,-30.62036052511459,0.0034655017361098616,0.0,0.0,0.0,0.0,0.057209670543670654,0.0006910242770378814,0.057209670543670654,0.0006910242770378814,0.5380632134830231,0.00018076490443589015,0.667653315237136,0.00031223286152808993,0.7955768229089825,0.0010032396349940284,194.55185215625878,0.13497719148396486,0.999999270716453,1.7070217666420008e-07
100,0.0,reverse_kl,vmf,3,6.0833539441392446e-05,5.8092007024908975e-06,7.050577499393292e-05,1.195796352231223e-05,-30.686899696553567,0.0037907223208489705,0.0,0.0,0.0,0.0,0.00109367569287618,0.0007294756063008141,0.00109367569287618,0.0007294756063008141,0.5452191715958347,9.30520666281005e-05,0.638145012060605,0.00011525869068091813,0.7183039964671684,0.000336980191503916,99.93828045149682,0.032508649548750226,0.9999992458110173,1.6125623956077347e-07
100,0.01,forward_kl,powerspherical,3,0.8423640136791467,0.006169321209678005,0.057953728772234946,0.0009595885774937574,-29.58042567198005,0.009443351475607615,0.0,0.0,0.004922333328674237,9.495957901449364e-05,0.1102686623732249,0.0009487408572031701,0.11519099570189913,0.0008544647113899528,0.5673703262343128,0.0002433289088808341,0.6597154904719988,0.00017569629516727317,0.7376407080912163,0.0006290206494112106,84.33227160808036,0.07744413222830142,0.9999991646960645,1.7280903969384487e-07
100,0.01,forward_kl,spcauchy,3,0.21374776338453993,0.000712986016874897,0.1168096160807373,0.0004926738029168875,-30.20904192227465,0.0043083332642956315,0.0,0.0,0.004922333328674237,9.495957901449364e-05,0.021634340286254883,0.0008202075511243094,0.02655667361492912,0.0009067682973446588,0.5473442653288515,0.0002037862696901788,0.6788639710140192,8.038321968530136e-05,0.8084897992673966,0.0005790395566129656,187.11801998725366,0.11515140746268501,0.9999991302317461,1.9566997077538855e-07
100,0.01,forward_kl,vmf,3,0.5562570698599847,0.0037206166206812255,0.03513335732126608,0.0006645207237148641,-29.866532615799212,0.006945958516257775,0.0,0.0,0.004922333328674237,9.495957901449364e-05,0.07425198952356975,0.0014151975708663667,0.07917432285224398,0.001320385538309031,0.5607720892827103,0.00016462691742969923,0.6564847714291054,0.00019868678106690156,0.7391660779546146,0.00036283689103584776,94.14006096366818,0.05139513805528317,0.9999991921724628,1.6681424003064536e-07
100,0.01,reverse_kl,powerspherical,3,0.8927002344054767,0.006802530925315605,0.01147520137577925,3.979426142693909e-05,-29.530089451253716,0.009961673908348422,0.0,0.0,0.004922333328674237,9.495957901449364e-05,0.004724333683649699,0.0008877107373845165,0.009646667012323936,0.0008575775014459607,0.545887417641716,0.0002692881543140326,0.6348415659616157,0.0002488762595155467,0.7099950243980122,0.00021879049428171366,92.14430687824085,0.049326686275512614,0.9999991867643194,9.375888811402222e-08
100,0.01,reverse_kl,spcauchy,3,0.218482072849251,0.0005241054898649037,0.10844160038421796,0.0007442654343869965,-30.20430761280994,0.004248175803793762,0.0,0.0,0.004922333328674237,9.495957901449364e-05,0.05936466654141744,0.0007110479334899346,0.06428699987009168,0.000662448085696705,0.5384308029564249,0.00018977809507647315,0.6680977524371073,0.00031175759705548444,0.7960892314898419,0.0010044707491491491,194.24980691177186,0.1353410928290703,0.9999992704476668,1.7103752295242723e-07
100,0.01,reverse_kl,vmf,3,0.5809673020155759,0.004351651742399177,0.010119513375032299,1.1589629621877074e-05,-29.841822383643617,0.007644094898790627,0.0,0.0,0.004922333328674237,9.495957901449364e-05,0.002811680237452189,0.0010212464626187052,0.007734013566126426,0.0011148480578463613,0.5452197416250867,9.29004288659239e-05,0.638145710113991,0.00011514888130560686,0.7183047838910182,0.0003368715828101783,99.93805495812539,0.03249368332656627,0.9999992458290735,1.611971647397961e-07
100,0.05,forward_kl,powerspherical,3,3.49910809836166,0.007438664049370068,1.0205315866066786,0.006135565807235036,-25.94447000791918,0.009982287980683967,0.0,0.0,0.024823999653259914,3.8039247077785626e-05,0.3038693343599637,0.00047176549903218257,0.32869333401322365,0.0005055617773408027,0.6467306411779176,0.0002770577259800998,0.7514677752181816,0.00044796310358513706,0.8396334703195412,0.000771825521231762,61.92045460480995,0.09293658076431402,0.9999987884072631,3.2562746217155344e-07
100,0.05,forward_kl,spcauchy,3,0.8674449957541063,0.003157127219780635,0.22523651661572916,0.0006163246404646647,-28.576133110526737,0.00567846857857389,0.0,0.0,0.024823999653259914,3.8039247077785626e-05,0.038729339838027954,0.0008189255585821796,0.06355333949128787,0.0008558937170726521,0.5664026228340148,0.00021782805410330513,0.7018287952454214,0.00011517269698752771,0.834896474016967,0.0007729499062658973,172.98252802677465,0.05802637080197147,0.9999990686733744,2.5079731598951977e-07
