backward_iqr_s,backward_max_s,backward_mean_s,backward_median_s,backward_min_s,backward_std_s,batch_size,benchmark,device,dim,direct_backend_requested,direct_backend_resolved,dtype,error_message,failure_type,family,forward_iqr_s,forward_max_s,forward_mean_s,forward_median_s,forward_min_s,forward_std_s,kappa,kl_autograd_route,kl_iqr_s,kl_mean_s,kl_median_s,kl_std_s,laplace_backend_requested,laplace_backend_resolved,loss_construction_iqr_s,loss_construction_mean_s,loss_construction_median_s,loss_construction_std_s,measure_iters,method,nan_or_inf_grad,nan_or_inf_loss,parameter_iqr_s,parameter_mean_s,parameter_median_s,parameter_std_s,peak_cuda_memory_bytes,power_exponent,repeat_total_medians_s,repeats,retained_correction_terms,rho,runtime_error,sampling_iqr_s,sampling_mean_s,sampling_median_s,sampling_std_s,seed,success,timeout_hit,timeout_s,total_iqr_s,total_max_s,total_mean_s,total_median_s,total_min_s,total_std_s,warmup_iters
1.706136390566826e-05,0.002102539991028607,0.0013837359794415533,0.0013700004783459008,0.0013448690297082067,9.893115196225774e-05,128,runtime,cpu,128,auto,,float32,,,vmf,2.1983723854646087e-05,0.0036583609180524945,0.0024987115222029387,0.002477500995155424,0.00244596297852695,0.00014147600576244353,10.0,native,2.1522078895941377e-05,0.0008447134103626013,0.000836142513435334,5.0827043330994744e-05,auto,,3.707828000187874e-07,1.9098401069641114e-05,1.8783437553793192e-05,1.5759148627114828e-06,50,vmf_robust,False,False,9.453506208956242e-07,0.00012131937826052308,0.00011983455624431372,8.832479657271038e-06,,,0.00384886702523;0.00384213915095;0.00384057220072;0.00384853687137;0.00384107604623,5,,,False,7.5417920015752316e-06,0.0015135803325101733,0.001500432554166764,8.558750596420268e-05,0,True,False,5.0,2.4965760530903935e-05,0.005760900909081101,0.0038824475016444922,0.003845748957246542,0.003807840053923428,0.00023426857940957545,10
1.4360441127792e-05,0.0008161480072885752,0.0006463211951777339,0.0006382269784808159,0.0006290439050644636,2.1320065949924547e-05,128,runtime,cpu,128,auto,,float32,,,powerspherical,2.0838750060647726e-05,0.0008383389795199037,0.0007161568286828696,0.0007073750020936131,0.0006949779344722629,2.2692074393799283e-05,10.0,native,1.2886885087937117e-06,0.00011001830594614148,0.0001071080332621932,9.014521879017749e-06,auto,,2.767774276435375e-07,1.5121817588806152e-05,1.4739518519490957e-05,2.5182546205606776e-06,50,power_spherical,False,False,5.864421837031841e-07,9.882606053724884e-05,9.747152216732502e-05,5.4772495490559464e-06,,20.0,0.00134919502307;0.00134489999618;0.00134343397804;0.00134756509215;0.00134691293351,5,,,False,7.70771293900907e-06,0.0004921906446106732,0.00048672844422981143,1.8966325385476465e-05,0,True,False,5.0,3.572186687961221e-05,0.0015220929635688663,0.0013624780238606035,0.0013465729425661266,0.0013316699769347906,3.4601436066932844e-05,10
6.656016921624541e-06,0.0006599720800295472,0.0006481712893582881,0.0006493055261671543,0.0006401720456779003,3.750929507026039e-06,128,runtime,cpu,256,auto,compiled_horner_direct,float32,,,spcauchy,4.727713530883193e-06,0.0008205639896914363,0.0007767185498960316,0.000777065462898463,0.0007657440146431327,4.753084959461612e-06,10.0,custom_single_node,1.7627316992729902e-06,0.0001626174421980977,0.0001616189838387072,2.7380958141467764e-06,auto,,4.181929398328066e-07,3.5235915798693895e-05,3.504997584968805e-05,1.0296238843304588e-06,50,spcauchy_direct,False,False,1.4550168998539448e-06,0.00017640288826078178,0.0001754635013639927,3.0824757598680736e-06,,,0.00142738106661;0.00142376299482;0.00142347696237;0.00142444903031;0.00142227497417,5,127,0.018874646269279063,False,6.012734957039356e-06,0.00040246230363845826,0.0004011404816992581,3.538816686248277e-06,0,True,False,5.0,6.55703479424119e-06,0.0014781220816075802,0.0014248898392543196,0.0014240385498851538,0.0014128899201750755,5.740074333503113e-06,10
6.123795174062252e-06,0.0007327659986913204,0.0006470023058354854,0.0006475995178334415,0.0006386509630829096,6.612617580634117e-06,128,runtime,cpu,256,auto,vectorized,float32,,,spcauchy,4.1844905354082584e-06,0.001106315990909934,0.0009141565365716815,0.0009126415243372321,0.0009020469151437283,1.740066249806456e-05,10.0,custom_single_node,5.8840669225901365e-06,0.00030680523766204716,0.00030500401044264436,8.329974419340646e-06,auto,,4.6548666432499886e-07,2.9375295620411633e-05,2.904451685026288e-05,1.5691535644883825e-06,50,spcauchy_direct_fixed,False,False,8.632196113467216e-07,0.0001752249035052955,0.00017435947665944695,2.3591651386452267e-06,,,0.0015607799869;0.00155866204295;0.00155955902301;0.0015583030181;0.00155722803902,5,2,0.018874646269279063,False,5.983514711260796e-06,0.0004027510997839272,0.00040086451917886734,1.3601610736744126e-05,0,True,False,5.0,6.073154509067535e-06,0.001829099957831204,0.001561158842407167,0.00155911804176867,0.001548414002172649,2.161928299954384e-05,10
6.083369953557849e-06,0.0006922000320628285,0.0006492605707608164,0.0006499410374090075,0.0006408850895240903,4.7295012816104804e-06,128,runtime,cpu,256,auto,,float32,,,spcauchy,4.096480552107096e-06,0.0008569259662181139,0.0007476462027989328,0.0007475685561075807,0.0007371499668806791,8.459004215871394e-06,10.0,custom_single_node,1.2742821127176285e-06,0.00013472290709614753,0.00013399595627561212,2.2464201092761944e-06,auto,compiled,4.174362402409315e-07,3.595056151971221e-05,3.575696609914303e-05,1.1084560135336433e-06,50,spcauchy_laplace,False,False,7.819617167115211e-07,0.0001752717182971537,0.00017434294568374753,2.5662032184672036e-06,,,0.0013948379783;0.00139540596865;0.00139465194661;0.00139671901707;0.00139569095336,5,,0.018874646269279063,False,5.773938028141856e-06,0.00040170101588591934,0.0003997725434601307,7.110708703191914e-06,0,True,False,5.0,5.8300793170928955e-06,0.0015212169382721186,0.001396906773559749,0.0013953809975646436,0.0013870869297534227,1.0121636912469703e-05,10
1.0254676453769207e-05,0.0021554050035774708,0.002025408965069801,0.0020233489922247827,0.0020041130483150482,1.5097146016413827e-05,128,runtime,cpu,256,auto,horner_reference,float32,,,spcauchy,1.0555784683674574e-05,0.0019471480045467615,0.0017729072966612875,0.0017724590725265443,0.0017505040159448981,1.3489347761170845e-05,10.0,reference_term_graph,8.086062734946609e-06,0.0011552694300189614,0.0011542905122041702,1.1769669111484881e-05,auto,,4.050089046359062e-07,2.842383272945881e-05,2.8271053452044725e-05,8.375935290583372e-07,50,spcauchy_direct_autograd,False,False,8.63510649651289e-07,0.00018509778007864952,0.00018459302373230457,2.8601047731511016e-06,,,0.00379428407177;0.00379721214995;0.00379317486659;0.00379375182092;0.00379927316681,5,127,0.018874646269279063,False,3.1947565730661154e-06,0.0004041162538342178,0.00040362897561863065,3.4989181289731157e-06,0,True,False,5.0,1.4706689398735762e-05,0.0040853500831872225,0.003798316261731088,0.0037957109743729234,0.003761491971090436,2.404281993298116e-05,10
,,,,,,128,runtime,cpu,256,auto,,float32,Encountered NaN/Inf in loss or gradients.,non_finite,vmf,,,,,,,10.0,native,,,,,auto,,,,,,50,vmf_official,True,True,,,,,,,,5,,,False,,,,,0,False,False,5.0,,,,,,,10
1.8168793758377433e-05,0.0015958789736032486,0.0014295642278157174,0.0014256780268624425,0.001408663927577436,1.777182408874065e-05,128,runtime,cpu,256,auto,,float32,,,vmf,1.529167639091611e-05,0.0028638410149142146,0.0025960562280379234,0.002592344011645764,0.002573531004600227,2.4605499294089847e-05,10.0,native,1.5730445738881826e-05,0.0007596135344356299,0.000755882472731173,1.1371191383389115e-05,auto,,5.88101102039218e-07,2.9251179192215203e-05,2.909451723098755e-05,1.0945264078282841e-06,50,vmf_robust,False,False,1.326581696048379e-06,0.00018250033259391784,0.00018194445874541998,2.5228786736739287e-06,,,0.00402243807912;0.00401833700016;0.00402066903189;0.00402113888413;0.00402032770216,5,,,False,7.855036528781056e-06,0.0016246911818161606,0.0016221560072153807,1.9439583065449243e-05,0,True,False,5.0,2.0279927412047982e-05,0.004459719988517463,0.004025620455853641,0.00402036594459787,0.003985779942013323,3.65668046470476e-05,10
4.0755257941782475e-06,0.0009611389832571149,0.0008901838245801627,0.0008882180554792285,0.0008767959661781788,1.1800403528918299e-05,128,runtime,cpu,256,auto,,float32,,,powerspherical,3.7857680581510067e-06,0.0012296700151637197,0.0010269341245293618,0.0010240019764751196,0.001017040922306478,1.850429394090192e-05,10.0,native,1.3185199350118637e-06,0.00012973980465903878,0.0001288435305468738,4.105091449868351e-06,auto,,4.230532795190811e-07,2.828948851674795e-05,2.8113950975239277e-05,9.841814220018465e-07,50,power_spherical,False,False,9.745126590132713e-07,0.00017900233576074242,0.00017765449592843652,6.762680174576361e-06,,20.0,0.00191245297901;0.00191041396465;0.00191300304141;0.00191280804574;0.00191279407591,5,,,False,5.208334187045693e-06,0.0006899024955928326,0.0006888504722155631,1.3283932376774701e-05,0,True,False,5.0,6.612652214244008e-06,0.00218757800757885,0.0019171179491095246,0.0019123100209981203,0.001897530979476869,2.5903814492158505e-05,10
7.758440915495157e-06,0.000798900960944593,0.0007005515675991774,0.0006991775589995086,0.0006883150199428201,8.500393002190827e-06,128,runtime,cpu,512,auto,compiled_horner_direct,float32,,,spcauchy,1.223426079377532e-05,0.001342535950243473,0.0010652021337300538,0.001063780509866774,0.0010381679749116302,2.385487654187069e-05,10.0,custom_single_node,2.180575393140316e-06,0.000178391276858747,0.00017753755673766136,2.8392468572969146e-06,auto,,5.037582013756037e-07,3.862266940996051e-05,3.8539059460163116e-05,8.956743477180483e-07,50,spcauchy_direct,False,False,5.1685492508113384e-06,0.0002932633035816252,0.0002921614795923233,1.8469684315616646e-05,,,0.00177548499778;0.00177255203016;0.00175934401341;0.00175516190939;0.00175418902654,5,255,0.009597813032773628,False,1.541775418445468e-05,0.0005549248838797212,0.0005547680775634944,1.641267544124112e-05,0,True,False,5.0,1.8238992197439075e-05,0.002141436911188066,0.0017657537013292313,0.0017633644747547805,0.0017340329941362143,3.0290387159993785e-05,10
6.482470780611038e-06,0.0007137540960684419,0.0006945620873011649,0.0006955295102670789,0.0006854600505903363,3.9587587040045564e-06,128,runtime,cpu,512,auto,vectorized,float32,,,spcauchy,9.67280357144773e-06,0.0013869570102542639,0.0011793646668083965,0.001178353966679424,0.0011572259245440364,1.5442755979695984e-05,10.0,custom_single_node,6.098794983699918e-06,0.00030709507362917064,0.0003056789864785969,3.7399446626855728e-06,auto,,5.469191819429398e-07,3.1780297867953777e-05,3.163644578307867e-05,1.059994434785355e-06,50,spcauchy_direct_fixed,False,False,5.487061571329832e-06,0.00029034164547920226,0.00028876197757199407,5.289481615054677e-06,,,0.00187731406186;0.0018722419627;0.00187060399912;0.00187075405847;0.00186877301894,5,2,0.009597813032773628,False,1.577299553900957e-05,0.0005501476498320698,0.0005476859514601529,1.6174075489866038e-05,0,True,False,5.0,1.1682655895128846e-05,0.002084529958665371,0.0018739267541095614,0.0018717509810812771,0.0018522919854149222,1.6348252041613373e-05,10
6.266171112656593e-06,0.000718986033461988,0.0006977518717758358,0.000698412477504462,0.0006894540274515748,4.242125176118825e-06,128,runtime,cpu,512,auto,,float32,,,spcauchy,1.0358169674873352e-05,0.0010319390567019582,0.001015829517506063,0.0010151725145988166,0.0009953640401363373,6.814972473674296e-06,10.0,custom_single_node,1.21706398203969e-06,0.0001358674974180758,0.00013529445277526975,2.2724326336731e-06,auto,compiled,4.461617209017277e-07,3.925454104319215e-05,3.9042497519403696e-05,1.227695441027765e-06,50,spcauchy_laplace,False,False,5.039764801040292e-06,0.0002900615376420319,0.00028886948712170124,2.684566508701563e-06,,,0.0017115320079;0.00171379500534;0.00171100301668;0.00171363097616;0.00171372608747,5,,0.009597813032773628,False,1.5702185919508338e-05,0.0005506459414027631,0.0005487870657816529,8.456456475213975e-06,0,True,False,5.0,1.150931348092854e-05,0.0017442930256947875,0.0017135813892818986,0.001713121950160712,0.0016885349759832025,8.340756625184513e-06,10
2.0550709450617433e-05,0.0035816599847748876,0.0034129914697259667,0.0034112849389202893,0.003376523032784462,2.1640615589402024e-05,128,runtime,cpu,512,auto,horner_reference,float32,,,spcauchy,2.0009843865409493e-05,0.003408052958548069,0.0030504482057876884,0.003048464481253177,0.0030043369624763727,2.796359441777596e-05,10.0,reference_term_graph,1.703828456811607e-05,0.002173304363619536,0.0021731930319219828,1.5631195112366957e-05,auto,,5.364418029785156e-07,3.104922454804182e-05,3.099150490015745e-05,5.974564902590357e-07,50,spcauchy_direct_autograd,False,False,4.702043952420354e-06,0.00030702017107978464,0.00030605855863541365,3.863840171283081e-06,,,0.00645879516378;0.00646227505058;0.00645083701238;0.0064605968073;0.00646310392767,5,255,0.009597813032773628,False,5.652225809171796e-06,0.0005390744465403258,0.0005381689989008009,1.9433732672276648e-05,0,True,False,5.0,2.6594236260280013e-05,0.006823978968895972,0.006463439675513655,0.0064585835207253695,0.0064106209902092814,3.694052306971297e-05,10
,,,,,,128,runtime,cpu,512,auto,,float32,Encountered NaN/Inf in loss or gradients.,non_finite,vmf,,,,,,,10.0,native,,,,,auto,,,,,,50,vmf_official,True,True,,,,,,,,5,,,False,,,,,0,False,False,5.0,,,,,,,10
1.7464248230680823e-05,0.0014774319715797901,0.0014138876143842936,0.0014122790307737887,0.0013928880216553807,1.1841964914476718e-05,128,runtime,cpu,512,auto,,float32,,,vmf,2.2530730348080397e-05,0.0030023830477148294,0.0028231249591335653,0.0028214564663358033,0.0027903489535674453,2.1936132612676335e-05,10.0,native,1.5945261111482978e-05,0.0007078254409134388,0.0007049705600365996,9.50015234325358e-06,auto,,5.140318535268307e-07,3.2193925697356464e-05,3.201898653060198e-05,9.515972322572994e-07,50,vmf_robust,False,False,4.744506441056728e-06,0.00030056294053792953,0.0003000550204887986,1.2182323061835753e-05,,,0.0042497930117;0.00425358908251;0.00422262400389;0.00422182306647;0.00422619469464,5,,,False,2.188907819800079e-05,0.0017825426519848407,0.0017788330442272127,1.280115589750286e-05,0,True,False,5.0,2.7826259611174464e-05,0.0044798150192946196,0.004237012573517859,0.004234060936141759,0.004195100045762956,2.744124513644547e-05,10
4.909496055915952e-06,0.0011529750190675259,0.0009373328178189695,0.0009339544922113419,0.000923819956369698,1.5455485904899196e-05,128,runtime,cpu,512,auto,,float32,,,powerspherical,9.063718607649207e-06,0.0013284990563988686,0.0012801923444494606,0.0012748354929499328,0.0012652960140258074,1.2437441328424522e-05,10.0,native,1.1986121535301208e-06,0.00012917164294049143,0.00012841547140851617,2.327427459073905e-06,auto,,4.164758138358593e-07,3.0352460220456122e-05,3.0214025173336267e-05,9.087782733252294e-07,50,power_spherical,False,False,5.219742888584733e-06,0.0002943798769265413,0.0002926074666902423,4.040807852326856e-06,,20.0,0.00220789201558;0.00220721401274;0.00220514601097;0.00220624008216;0.00225224718451,5,,,False,5.298148607835174e-06,0.0008262883643619716,0.0008226200006902218,9.997398550125624e-06,0,True,False,5.0,1.1847238056361675e-05,0.002422402030788362,0.00221752516226843,0.0022086999379098415,0.0021971719106659293,2.2727347986338036e-05,10
4.219220136292279e-05,0.0012443449813872576,0.0009990008482709527,0.0009934019763022661,0.0009511549724265933,3.359083335626641e-05,128,runtime,cpu,1024,auto,compiled_horner_direct,float32,,,spcauchy,2.7190078981220722e-05,0.002359320060350001,0.0020163709786720574,0.0020170955103822052,0.0019771300721913576,2.9096190847855125e-05,10.0,custom_single_node,6.182730430737138e-06,0.00024518856685608624,0.00024458306143060327,5.774667586904199e-06,auto,,1.3938406482338905e-06,4.129957128316164e-05,4.094751784577966e-05,2.46672693960547e-06,50,spcauchy_direct,False,False,6.4207997638732195e-06,0.0005330432681366801,0.0005298794130794704,1.975250610674278e-05,,,0.00296880397946;0.00297371391207;0.00301108392887;0.00304773310199;0.00303575908765,5,511,0.004840384459446832,False,2.5781657313928008e-05,0.0011968395723961293,0.0012009114725515246,1.440275422822556e-05,0,True,False,5.0,7.165671559050679e-05,0.003560714074410498,0.00301537182694301,0.003013061999808997,0.002932706964202225,5.5100991249277306e-05,10
3.015901893377304e-05,0.0014049690216779709,0.0010234067989513278,0.0010132835595868528,0.0009691669838503003,5.6974992454508454e-05,128,runtime,cpu,1024,auto,vectorized,float32,,,spcauchy,2.824614057317376e-05,0.00331590895075351,0.0021739549515768885,0.0021467830520123243,0.0021119040902704,0.00014643305502143398,10.0,custom_single_node,1.4428660506382585e-05,0.0003680058587342501,0.0003632709267549217,2.551856956416037e-05,auto,,9.991636034101248e-07,3.566292533650994e-05,3.3977499697357416e-05,1.3672946720482618e-05,50,spcauchy_direct_fixed,False,False,1.875520683825016e-05,0.0005470291306264698,0.0005371664883568883,4.84038199830338e-05,,,0.00315297907218;0.0031641270034;0.003170639975;0.00315354997292;0.00317636202089,5,2,0.004840384459446832,False,1.3333192327991128e-05,0.0012232570368796588,0.0012113625416532159,7.598974466046646e-05,0,True,False,5.0,4.455255111679435e-05,0.004720877972431481,0.0031973617505282165,0.0031613275059498847,0.0030827770242467523,0.00019619999175327226,10
