abs_error,batch_size,benchmark,device,dim,direct_backend,dtype,error_message,eval_time_s,failure_type,family,kappa,kl_value,method,quadrature_nodes,reference_error_message,reference_failure_type,reference_method,reference_nodes,reference_source,reference_success,reference_value,rel_error,rho,seed,series_k_terms,success
0.0,,accuracy,cpu,3,auto,float64,,0.00036942801671102643,,spcauchy,,0.1710089010054605,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,0.1710089010054605,0.0,0.25,0,,True
0.05658974619892587,,accuracy,cpu,3,auto,float64,,0.00016415899153798819,,spcauchy,,0.11441915480653464,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,0.1710089010054605,0.3309169631884769,0.25,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.0003744090208783746,,spcauchy,,0.7465307216702737,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,0.7465307216702737,0.0,0.5,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.0003736120415851474,,spcauchy,,0.7465307216702737,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,0.7465307216702737,0.0,0.5,0,,True
0.11765108302156202,,accuracy,cpu,3,auto,float64,,0.00015886698383837938,,spcauchy,,0.6288796386487117,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,0.7465307216702737,0.157597108339134,0.5,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.00038406101521104574,,spcauchy,,2.0539794771985695,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,2.0539794771985695,0.0,0.75,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.00039263995131477714,,spcauchy,,2.0539794771985695,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,2.0539794771985695,0.0,0.75,0,,True
0.07363924236470387,,accuracy,cpu,3,auto,float64,,0.00016341102309525013,,spcauchy,,1.9803402348338657,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,2.0539794771985695,0.035851985466349795,0.75,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.0003650719881989062,,spcauchy,,3.921593946990286,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,3.921593946990286,0.0,0.9,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.00037218601210042834,,spcauchy,,3.921593946990286,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,3.921593946990286,0.0,0.9,0,,True
0.020420936705474624,,accuracy,cpu,3,auto,float64,,0.00016018800670281053,,spcauchy,,3.9011730102848112,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,3.921593946990286,0.005207305239020762,0.9,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.0003657700144685805,,spcauchy,,5.336764243959632,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,5.336764243959632,0.0,0.95,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.0003624840173870325,,spcauchy,,5.336764243959632,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,5.336764243959632,0.0,0.95,0,,True
0.00671462648287946,,accuracy,cpu,3,auto,float64,,0.0001711600343696773,,spcauchy,,5.330049617476752,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,5.336764243959632,0.0012581830817202295,0.95,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.00037609500577673316,,spcauchy,,7.192115259391681,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,7.192115259391681,0.0,0.98,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.0003751909825950861,,spcauchy,,7.192115259391681,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,7.192115259391681,0.0,0.98,0,,True
0.0014210932850584612,,accuracy,cpu,3,auto,float64,,0.00016502803191542625,,spcauchy,,7.190694166106622,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,7.192115259391681,0.00019759044923574532,0.98,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.0003653889871202409,,spcauchy,,8.587144326704006,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,8.587144326704006,0.0,0.99,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.00037167902337387204,,spcauchy,,8.587144326704006,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,8.587144326704006,0.0,0.99,0,,True
0.0004221883460218123,,accuracy,cpu,3,auto,float64,,0.0001585839781910181,,spcauchy,,8.586722138357985,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,8.587144326704006,4.9165162475365126e-05,0.99,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.000369050947483629,,spcauchy,,9.978073310197235,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,9.978073310197235,0.0,0.995,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.0003639719798229635,,spcauchy,,9.978073310197235,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,9.978073310197235,0.0,0.995,0,,True
0.00012249428207233848,,accuracy,cpu,3,auto,float64,,0.00016919698100537062,,spcauchy,,9.977950815915163,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,9.978073310197235,1.227634617067342e-05,0.995,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.0003722069668583572,,spcauchy,,13.20081227701114,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,13.20081227701114,0.0,0.999,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.0003650180296972394,,spcauchy,,13.20081227701114,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,13.20081227701114,0.0,0.999,0,,True
6.493866910872725e-06,,accuracy,cpu,3,auto,float64,,0.00015820801490917802,,spcauchy,,13.20080578314423,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,13.20081227701114,4.919293430285059e-07,0.999,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.00022564100800082088,,spcauchy,,0.0,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,0.0,0.0,0.0,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.0002166999620385468,,spcauchy,,0.0,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,0.0,0.0,0.0,0,,True
3.6822384688077123e-06,,accuracy,cpu,4,auto,float64,,0.00015948800137266517,,spcauchy,,3.6822384688077123e-06,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,0.0,3682238.468807712,0.0,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.00021677097538486123,,spcauchy,,0.00045001500100007503,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,0.00045001500100007503,0.0,0.01,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.00022665801225230098,,spcauchy,,0.00045001500100007503,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,0.00045001500100007503,0.0,0.01,0,,True
8.174526730104202e-05,,accuracy,cpu,4,auto,float64,,0.00016080797649919987,,spcauchy,,0.000368269733699033,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,0.00045001500100007503,0.1816500941510356,0.01,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.00022994499886408448,,spcauchy,,0.04515100756050433,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,0.04515100756050433,0.0,0.1,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.00021234701853245497,,spcauchy,,0.04515100756050433,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,0.04515100756050433,0.0,0.1,0,,True
0.007869977607335737,,accuracy,cpu,4,auto,float64,,0.00015996501315385103,,spcauchy,,0.03728102995316859,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,0.04515100756050433,0.17430347698862805,0.1,0,,True
