backend,backward_iqr_s,backward_mean_s,backward_median_s,backward_std_s,batch_size,device,dimension,error_message,evaluator,forward_iqr_s,forward_mean_s,forward_median_s,forward_std_s,measurements,peak_cuda_memory_bytes,repeats,rho,success,total_iqr_s,total_mean_s,total_median_s,total_std_s,warmups
compiled,2.872348704840988e-05,0.0001303258433472365,0.00011383299715816975,3.3816884549604254e-05,1024,cuda,2048,,direct,1.1694239219650626e-05,0.00029979285132139923,0.0002837049833033234,4.326870504865019e-05,50,35328,5,0.00243073871777033,True,6.273449980653822e-05,0.0004301186946686357,0.0003999080217909068,6.197971777092884e-05,10
triton,6.401749851647764e-05,0.00014473790419287978,0.00011780299246311188,4.740807022312171e-05,1024,cuda,2048,,direct,1.4865509001538157e-05,0.00022680606902576982,0.00021180050680413842,5.1930505630521596e-05,50,35328,5,0.00243073871777033,True,7.798596925567836e-05,0.0003715439732186496,0.0003474644909147173,7.608369941076983e-05,10
vectorized,8.570961654186249e-06,0.00011838651029393077,0.00010938552441075444,2.2783911011271563e-05,1024,cuda,9,,neighbor,3.8664526073262095e-05,0.0003723222417756915,0.00035407295217737556,4.454104662754949e-05,50,110592,5,0.3033370452904235,True,5.1647744840011e-05,0.0004907087520696223,0.0004651309864129871,5.464762138772327e-05,10
horner,8.170274668373168e-06,0.0001166088324971497,0.0001079944777302444,2.098056356761828e-05,1024,cuda,9,,neighbor,5.267646338324994e-05,0.0004410333829000592,0.00041792698903009295,5.358161143940621e-05,50,56832,5,0.3033370452904235,True,5.8932972024194896e-05,0.000557642215397209,0.0005323319928720593,6.49899948123395e-05,10
compiled,5.2568764658644795e-05,0.00018011995847336948,0.00016916202730499208,4.861952507725837e-05,1024,cuda,9,,neighbor,1.8859485862776637e-05,0.00022705226414836943,0.00020968899480067194,6.0558145059950175e-05,50,36352,5,0.3033370452904235,True,6.501146708615124e-05,0.0004071722226217389,0.00038371101254597306,8.069795300639079e-05,10
triton,6.338299135677516e-05,0.00014469296438619496,0.00011381349759176373,5.121198630564207e-05,1024,cuda,9,,neighbor,2.047250745818019e-05,0.00020906077651306986,0.00018917451961897314,6.44601973774023e-05,50,36352,5,0.3033370452904235,True,8.636077109258622e-05,0.0003537537408992648,0.0003368450270500034,8.772160784527258e-05,10
vectorized,9.736482752487063e-06,0.00011833667266182602,0.00010900897905230522,2.2642374871623507e-05,1024,cuda,129,,neighbor,4.779153096023947e-05,0.0003768945299088955,0.0003519190358929336,5.4250362502294753e-05,50,1094656,5,0.03627957273179717,True,5.861019599251449e-05,0.0004952312025707215,0.00046221696538850665,6.557365034806309e-05,10
horner,5.764876550529152e-05,0.0001701830313540995,0.00015855199308134615,5.16541869895962e-05,1024,cuda,129,,neighbor,0.0002827477583196014,0.0025854841906111686,0.002522720518754795,0.00017988742246014897,50,57856,5,0.03627957273179717,True,0.0003105050273006782,0.002755667221965268,0.002710199012653902,0.00020055171132454084,10
compiled,6.723297701682895e-05,0.00015164381568320097,0.00012715152115561068,5.3700768256423116e-05,1024,cuda,129,,neighbor,2.241173933725804e-05,0.00023881237162277102,0.0002112975053023547,8.966463009840446e-05,50,37376,5,0.03627957273179717,True,0.00011327302490826696,0.00039045618730597196,0.0003671039885375649,0.00011126652469502419,10
triton,6.490519444923848e-05,0.00014076127880252899,0.000111572997411713,4.3638069171409504e-05,1024,cuda,129,,neighbor,1.261250872630626e-05,0.00020429652207531036,0.0001894220185931772,4.5802833729097695e-05,50,37376,5,0.03627957273179717,True,7.281625585164875e-05,0.0003450578008778393,0.00033123651519417763,6.587095315079178e-05,10
vectorized,1.1800002539530396e-05,0.00012224678695201875,0.00011028902372345328,2.749151593225742e-05,1024,cuda,2049,,neighbor,3.3742457162588835e-05,0.00044539327779784797,0.0004267835174687207,3.508155255530082e-05,50,16835072,5,0.002429557586856336,True,5.616896669380367e-05,0.0005676400647498667,0.0005395534972194582,5.225253754322134e-05,10
horner,7.06162245478481e-05,0.0002872806747909635,0.00028353300876915455,6.573426313766692e-05,1024,cuda,2049,,neighbor,0.0010656467929948121,0.036798357914667575,0.03671058651525527,0.0009062565725230796,50,66048,5,0.002429557586856336,True,0.0010325012844987214,0.03708563858945854,0.03697097100666724,0.0009035485948509864,10
compiled,5.199169390834868e-05,0.0001904092060867697,0.00017318152822554111,4.569889429221499e-05,1024,cuda,2049,,neighbor,4.498948692344129e-05,0.0002968924222514033,0.00026578697725199163,9.361224552065976e-05,50,45568,5,0.002429557586856336,True,7.940278737805784e-05,0.00048730162833817304,0.0004626705194823444,0.00011364971123375829,10
triton,4.59572474937886e-05,0.00012912877486087382,0.00010807448416016996,3.667629036694628e-05,1024,cuda,2049,,neighbor,1.8628255929797888e-05,0.00021325054531916976,0.00019183149561285973,6.113993507121462e-05,50,45568,5,0.002429557586856336,True,6.704549014102668e-05,0.0003423793201800436,0.0003056580026168376,7.619661482465442e-05,10
