abs_error,backward_iqr_s,backward_max_s,backward_mean_s,backward_median_s,backward_min_s,backward_std_s,batch_size,benchmark,device,dim,direct_backend_requested,direct_backend_resolved,dtype,error_message,failure_type,family,forward_iqr_s,forward_max_s,forward_mean_s,forward_median_s,forward_min_s,forward_std_s,kappa,kl_autograd_route,kl_error_threshold_exceeded,kl_iqr_s,kl_mean_s,kl_median_s,kl_std_s,loss_construction_iqr_s,loss_construction_mean_s,loss_construction_median_s,loss_construction_std_s,measure_iters,method,nan_or_inf_grad,nan_or_inf_loss,parameter_iqr_s,parameter_mean_s,parameter_median_s,parameter_std_s,peak_cuda_memory_bytes,power_exponent,quadrature_nodes,reference_source,rel_error,repeat_total_medians_s,repeats,retained_correction_terms,rho,runtime_error,sampling_iqr_s,sampling_mean_s,sampling_median_s,sampling_std_s,seed,series_k_terms,success,timeout_hit,timeout_s,total_iqr_s,total_max_s,total_mean_s,total_median_s,total_min_s,total_std_s,warmup_iters
5.754630461041188e-08,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,1.5257307532617147e-08,,1,15,0.25,False,,,,,0,,True,False,5.0,,,,,,,1
5.754630461041188e-08,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,1.5257307532617147e-08,,1,15,0.25,False,,,,,0,,True,False,5.0,,,,,,,1
0.004175367029501054,,,,,,,32,robustness,cpu,32,auto,,float32,,,spcauchy,,,,,,,,,True,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,0.0011070191085583896,,1,,0.25,False,,,,,0,,True,False,5.0,,,,,,,1
9.203837816329496e-07,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,5.9317332183747805e-08,,1,15,0.5,False,,,,,0,,True,False,5.0,,,,,,,1
9.203837816329496e-07,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,5.9317332183747805e-08,,1,15,0.5,False,,,,,0,,True,False,5.0,,,,,,,1
0.005830798061042586,,,,,,,32,robustness,cpu,32,auto,,float32,,,spcauchy,,,,,,,,,True,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,0.00037578604967329604,,1,,0.5,False,,,,,0,,True,False,5.0,,,,,,,1
5.920072823073497e-07,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,1.518138728783348e-08,,1,15,0.75,False,,,,,0,,True,False,5.0,,,,,,,1
5.920072823073497e-07,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,1.518138728783348e-08,,1,15,0.75,False,,,,,0,,True,False,5.0,,,,,,,1
0.0018812377592354323,,,,,,,32,robustness,cpu,32,auto,,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,4.8242310283983765e-05,,1,,0.75,False,,,,,0,,True,False,5.0,,,,,,,1
1.3808010578486574e-05,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,1.9903833087998075e-07,,1,15,0.9,False,,,,,0,,True,False,5.0,,,,,,,1
