model_family,reported_dim,ambient_latent_dim,seed,selected_epoch,best_eval_recon_loss,best_eval_total_loss,best_eval_kl,concentration_mean,concentration_q95,concentration_max,wall_clock_training_s,final_eval_recon_loss,final_eval_total_loss,final_eval_kl,run_dir
gaussian,10,10,3,40,80.70644214485264,100.22510895547988,19.518667027920106,,,,170.1528452759958,80.70644214485264,100.22510895547988,19.518667027920106,experiments/mnist/outputs/benchmark/gaussian/dim_10/seed_3
gaussian,10,10,2,40,81.27455110187772,100.50190966642356,19.227359023275255,,,,170.77944114495767,81.27455110187772,100.50190966642356,19.227359023275255,experiments/mnist/outputs/benchmark/gaussian/dim_10/seed_2
gaussian,10,10,0,40,81.02324377132368,100.56162310250198,19.538379138029075,,,,167.51154719799524,81.02324377132368,100.56162310250198,19.538379138029075,experiments/mnist/outputs/benchmark/gaussian/dim_10/seed_0
gaussian,20,20,1,40,74.82242593885977,98.03860039047048,23.21617418603052,,,,166.35548405803274,74.82242593885977,98.03860039047048,23.21617418603052,experiments/mnist/outputs/benchmark/gaussian/dim_20/seed_1
gaussian,20,20,4,40,75.09128734733486,98.35092674931393,23.259639522697352,,,,166.52325507899513,75.09128734733486,98.35092674931393,23.259639522697352,experiments/mnist/outputs/benchmark/gaussian/dim_20/seed_4
gaussian,20,20,3,39,74.90496227409267,98.19214765331414,23.287185137784935,,,,166.25634889502544,75.13899549653259,98.2550055588348,23.1160099657276,experiments/mnist/outputs/benchmark/gaussian/dim_20/seed_3
gaussian,20,20,2,38,75.52811827840684,98.51829113537752,22.990172905257985,,,,166.16648123099003,75.75041459481928,98.18899188464201,22.438577241535427,experiments/mnist/outputs/benchmark/gaussian/dim_20/seed_2
gaussian,20,20,0,38,75.05578062805948,98.29772842986674,23.241947584514378,,,,169.38162327802274,75.2092696564107,98.24393057521385,23.034661184383346,experiments/mnist/outputs/benchmark/gaussian/dim_20/seed_0
gaussian,5,5,1,40,104.043212890625,116.39132236529001,12.348109052151065,,,,169.26228416000959,104.043212890625,116.39132236529001,12.348109052151065,experiments/mnist/outputs/benchmark/gaussian/dim_5/seed_1
gaussian,5,5,4,40,100.88833791998368,113.58238056037999,12.694042278241508,,,,166.02855347300647,100.88833791998368,113.58238056037999,12.694042278241508,experiments/mnist/outputs/benchmark/gaussian/dim_5/seed_4
