d,z_star,signed_kl_error,max_abs_kl_error
188,0.8297584049548937,0.0010083279925936495,0.0010083279925936495
189,0.8310450959823668,0.001002855978953221,0.001002855978953221
190,0.8288667032678111,0.0009975382542108946,0.0009975382542108946
191,0.8294177278528817,0.0009922794294539017,0.0009922794294539017
192,0.8296752426454501,0.000987073867904087,0.000987073867904087
193,0.8324312502975909,0.0009817108624190496,0.0009817108624190496
194,0.8281750337189866,0.0009768007297878967,0.0009768007297878967
195,0.8318580426660992,0.000971688964796158,0.000971688964796158
196,0.8298008025849253,0.0009666985860263821,0.0009666985860263821
197,0.8271498509932617,0.000961662442861666,0.000961662442861666
198,0.830499163489487,0.0009569292914903826,0.0009569292914903826
199,0.8288918436290889,0.0009520265779769943,0.0009520265779769943
200,0.8288531162640012,0.0009472211153109811,0.0009472211153109811
